0.02:  216.6446,192.1361,179.6,
ParticipantNo: Zach
Time for Trials (seconds): 60
Controller type: Keyboard and Mouse
Repetition?: Full
DSPType: 1
Encoding Tours: 2
!!1_dsp1_02
1.34:  174.2,171.2,281.9,box 2,2
1.35:  174.2,171.2,281.9,box 2,2
1.36:  174.2,171.2,281.9,box 2,2
1.37:  174.2,171.2,281.9,box 2,2
1.38:  174.2,171.2,281.9,box 2,2
1.39:  174.2,171.2,281.9,box 2,2
1.4:  174.2,171.2,281.9,box 2,2
1.41:  174.2,171.2,281.9,box 2,2
1.42:  174.2,171.2,281.9,box 2,2
1.43:  174.2,171.2,281.9,box 2,2
1.44:  174.2,171.2,281.9,box 2,2
1.45:  174.2,171.2,281.9,box 2,2
1.46:  174.2,171.2,281.9,box 2,2
1.46:  174.2,171.2,281.9,box 2,2
1.47:  174.2,171.2,281.9,box 2,2
1.48:  174.2,171.2,281.9,box 2,2
1.49:  174.2,171.2,281.9,box 2,2
1.5:  174.2,171.2,281.9,box 2,2
1.51:  174.2,171.2,281.9,box 2,2
1.52:  174.2,171.2,281.9,box 2,2
1.53:  174.2,171.2,281.9,box 2,2
1.53:  174.2,171.2,281.9,box 2,2
1.54:  174.2,171.2,281.9,box 2,2
1.55:  174.1944,171.2012,281.9,box 2,2
1.57:  174.1845,171.2033,281.9,box 2,2
1.57:  174.1716,171.206,281.9,box 2,2
1.58:  174.1546,171.2095,281.9,box 2,2
1.59:  174.1312,171.2145,281.9,box 2,2
1.6:  174.1071,171.2196,281.9,box 2,2
1.61:  174.0775,171.2258,281.9,box 2,2
1.62:  174.0437,171.2329,281.9,box 2,2
1.63:  174.0008,171.242,281.9,box 2,2
1.64:  173.9614,171.2503,281.9,box 2,2
1.65:  173.9148,171.2601,281.9,box 2,2
1.66:  173.8635,171.2709,281.9,box 2,2
1.67:  173.8141,171.2813,281.9,box 2,2
1.68:  173.762,171.2923,281.9,box 2,2
1.69:  173.7093,171.3034,281.9,box 2,2
1.7:  173.6503,171.3158,281.9,box 2,2
1.71:  173.5889,171.3288,281.9,box 2,2
1.71:  173.5226,171.3428,281.9,box 2,2
1.73:  173.4299,171.3623,281.9,box 2,2
1.74:  173.3521,171.3787,281.9,box 2,2
1.74:  173.2726,171.3954,281.9,box 2,2
1.76:  173.1699,171.4171,281.9,box 2,2
1.76:  173.0838,171.4352,281.9,box 2,2
1.77:  172.9933,171.4543,281.9,box 2,2
1.78:  172.8942,171.4752,281.9,box 2,2
1.79:  172.7832,171.4986,281.9,box 2,2
1.8:  172.6601,171.5245,281.9,box 2,2
1.81:  172.5287,171.5522,281.9,box 2,2
1.83:  172.3549,171.5888,281.9,box 2,2
1.84:  172.245,171.612,281.9,box 2,2
